Article,Date,Heading,SportsType,Location,NamesBody,NamesHeading,Organizations
"CAPE TOWN: Jonny Bairstow pumped his chest to the sky and wiped away a tear as he completed an emotional maiden test hundred for England against South Africa on Sunday, amid a record-breaking stand with Ben Stokes.The red-haired England wicketkeeper last year lost his grandfather, with whom he shared a close relationship, while his dad David, a former England cricketer, killed himself in 1998.Obviously after everything that has gone on in the last year or so its fantastic to get over the line for me and my family, he told reporters after finishing on 150 not out with his mother and sister watching on from the stands. They have supported me all through my career. To have them here in Cape Town is lovely and it is my mums birthday on the last day of the test so hopefully we can cap off a great game. It was probably the best day of my life and one I will never forget.After being recalled to the England side during last years Ashes triumph over Australia, Bairstow's place in the team has come under scrutiny. ""It has been a little while coming. There was a lot of talk here and there so Im delighted to get over the line today, he said.Stokes and Bairstow scored 399 in a record sixth-wicket stand as England declared on 629 for six on the second day of the second test at Newlands.It was a bludgeoning performance from Stokes, who scored a record-breaking 258 off 198 balls.""It was an exhibition of stroke play,"" Bairstow said. ""We just clicked in and supported each other all the way through. To play a knock like that is something quite spectacular.Ive grown up with Stokesy and seen him play some fantastic knocks and to witness that today was extremely special and something a lot of people will never forget. England will seek to take an even firmer hold on the test on Monday by quickly dismissing South Africa, who closed on 141 for two.""It will be a strong move from us if we can come back in the morning and take some chances,"" Bairstow said. Our bowlers have a wealth of experience in all different conditions and hopefully we can come out tomorrow, utilise a bit of reverse swing, moisture in the pitch and we go from there.""",01-04-2016,Tearful Bairstow enjoys best day of his lif,cricket,CAPE TOWN,Jonny Bairstow;Jonny;Bairstow;Stokes;David;Ben;Stokesy,Tearful Bairstow,
"CAPE TOWN: England grabbed three wickets in 23 balls to inject life back into the second Test but any hopes they had of skittling South Africa out were ended by Temba Bavuma on Tuesday.The young batsman scored an unbeaten 52 to take South Africa to 525 for six at tea on the fourth day, trailing England by 104 runs with four session left in the match.Chris Morris, making his debut, was unbeaten on 24 in an unbroken 76-run partnership.South Africa batted slowly in the morning as they chipped away at Englands massive first-innings score of 629 for six declared.Hashim Amla reached his double century before the new ball after lunch brought a breakthrough when Stuart Broad bowled the hosts captain for 201.Faf du Plessis fell three balls later after making 86 off 216 balls, edging a low catch to Ben Stokes at third slip off the bowling of James Anderson.Quinton de Kock, back in the side after missing the last four Tests, fell for a trap set for him as he pulled a ball from Broad straight to Anderson at short square leg.Bavuma played an array of attacking strokes to race to his fifty off 52 balls with Morris playing a good supporting role.Amla effectively played his side back into the Test series with his patient innings which took almost 12 hours and included 27 fours.Dropped twice on Monday, an otherwise unflappable Amla betrayed nerves on 197, skying a shot and watching anxiously as Joe Root misjudged the ball and failed to get close to it.South Africa were 353 for three overnight and had made it clear they wanted to keep England in the field for much of the day again in baking-hot temperatures, well over 30 degrees Celsius.England lead the four-match series 1-0. (Reuters)",01-05-2016,Bavumas rapid fifty halts England reviv,cricket,CAPE TOWN,de;Kock;Plessis;Ben Stokes;James Anderson.Quinton de Kock;Faf du Plessis;du;Stuart Broad;Morris;Bavuma;Amla;Joe;James;Anderson.Quinton;Root;Faf;Ben;Joe Root;Anderson;Temba Bavuma;Stokes;Temba;Stuart;Broad,Bavumas,Reuters
"LAHORE: Pakistan Cricket Board (PCB) Chairman Shahryar Khan on Tuesday said Yasir Shah's family suffers from blood pressure disease and the leg-spinner consumed some of the medicine to control his blood pressure.<br/> <br/> Talking to newsmen here, the Chairman said PCB would appeal to the International Cricket Council (ICC) to show lenience in Yasir Shah's issue, adding that Muhammad Aamir would get visa for New Zelanad in a day or two.<br/> <br/> Expressing his concerns over cancellation of Australian team's visit to Bangladesh for Under-19 cricket world cup, Shahryar Khan said his sympathies are with Bangladesh Cricket Board and he would raise this issue in the ICC meeting.",01-05-2016,Yasir Shah takes blood pressure medicine Shahryar,cricket,LAHORE,Yasir;Shahryar Khan;Khan;Shahryar;Muhammad Aamir;Muhammad;Yasir Shah;Aamir;Shah,Yasir Shah;Shahryar;Shahryar Khan,Bangladesh Cricket Board;International Cricket Council;ICC;PCB
"CAPE TOWN: Captain Hashim Amla remained unbeaten after his third Test double century as South Africa moved closer to forcing a draw against England in the second Test at Newlands on Tuesday.Amla was 200 not out at lunch with Faf du Plessis (81) at the other end, guiding the hosts to 428 for three.The blooming 160-run partnership between them helped South Africa cut their deficit to 201 after Englands swashbuckling first innings total of 629-6 declared.Dropped twice on Monday, an otherwise unflappable Amla betrayed nerves on 197, skying a shot and watching anxiously as Joe Root misjudged the ball and failed to get close to it.Amla scrambled for two runs to go to 199 and brought up his double century off 461 balls in an innings that offers both him and South Africa much inspiration after 12 months of dismal Test cricket.South Africa had kept England in the field through the entire third day on Monday, losing just one wicket and looked determined to inflict more energy-sapping misery on the visitors on the fourth day.They started overnight on 353-3 and added 75 runs from 30 overs in the first session of the fourth day.England produced some lively overs early on Tuesday but then turned to off spin as they moved closer to taking the third new ball, which is available immediately after lunch.England did have a chance to catch du Plessis when he was on 61 but the edge flashed past James Anderson at first slip off the bowling of Moeen Ali.It was similar to the catch that Anderson had grassed on Monday when Amla got a thick edge to a delivery from Root.England are 1-0 ahead in the four-Test series. (Reuters)",01-05-2016,Amla leads South Africas reply with double ,cricket,CAPE TOWN,Hashim Amla;Joe;Root;James Anderson;James;Moeen Ali.It;Faf;Joe Root;Anderson;Plessis;Faf du Plessis;du;Ali.It;Hashim;Moeen;Amla,Amla;Hashim Amla,Reuters
"MUMBAI: Maharashtra schoolboy Pranav Dhanawade rewrote the record books on Tuesday, hammering an epic 1009 not out in an inter-school cricket tournament to register the highest individual score in an innings in any form of the game.The 15-year-old smashed 129 fours and clobbered 59 sixes in his staggering 323-ball knock played over two days before his team, KC Gandhi School, declared their innings on a staggering 1465 for two.An admirer of India's limited overs captain Mahendra Singh Dhoni, Dhanawade's monumental knock drew praise from batting great Sachin Tendulkar.""Congrats #PranavDhanawade on being the first ever to score 1000 runs in an innings. Well done and work hard. You need to scale new peaks!"" tweeted the former India captain.Dhanawade, who opened the innings against Arya Gurukul School, had gone past Arthur Collins' 628 not out, the previous highest in minor cricket scored in 1899 in England, on Monday.The son of an autorickshaw driver, Dhanawade had also gone past the highest individual score by an Indian in minor cricket, a record previously held by Prithvi Shaw who scored 546 in the Harris Shield in 2013-14.""I have always been a big-hitter,"" Dhanawade told the Hindustan Times after Monday's play.""When I started I never thought about breaking the record. The focus was never that. I just played my natural game, which is to attack from the word go.""After reaching 300, my coach Harish Sharma told me to play on. I did not know of the world record, but we had the Indian record (Shaw's 546) in mind.""",01-05-2016,Indian schoolboy breaches 1000 run mark in an inning,cricket,MUMBAI,Arthur;Mahendra;Sachin Tendulkar;Dhoni;Mahendra Singh Dhoni;Shaw;Harish;Pranav Dhanawade;Prithvi Shaw;Collins;Pranav;Sharma;Arthur Collins;Prithvi;Singh;Dhanawade;Harish Sharma;Tendulkar;Sachin,,Hindustan Times;KC Gandhi School;Arya Gurukul School
"SYDNEY: Australia have withdrawn from the under-19 World Cup in Bangladesh later this month because of concerns over the ""safety and security"" of the squad, Cricket Australia said in statement on Tuesday.Australia postponed a test tour of Bangladesh in October for similar reasons and Cricket Australia (CA) Chief Executive James Sutherland said the situation had not improved.""Regrettably, the advice from our government suggests that the security threat to Australians travelling to Bangladesh remains as high now as it was when we postponed the test teams tour of that country late last year,"" he said in the statement.""In the end, with all of the information and advice we have received, we feel we had no alternative other than to make this difficult decision.""",01-05-2016,Australia withdraw from U 19 WC in Banglad,cricket,SYDNEY,James Sutherland;James;Sutherland,,
"Matt Henry took the second five-wicket haul of his career to bowl New Zealand to a 36-run victory over Sri Lanka in the fifth one-day international and seal a 3-1 series victory at Bay Oval in Mt. Maunganui on Tuesday.Henry, who took four-wicket hauls in two other appearances in the series, finished with 5-40 as Sri Lanka captain Angelo Mathews had threatened to steal victory for his side.Mathews combined with his strong middle order to guide the run chase for 295 to snatch a draw in the series but when he was the eighth wicket to fall for 95, it effectively ended Sri Lankas chances and they were bowled out for 258 in 47.1 overs.Martin Guptill top-scored for New Zealand with 102 to give the hosts a competitive, though not daunting, total of 294 for five.New Zealand had ripped the top off Sri Lankas lineup to reduce them to 33 for three in the 10th over but Mathews and Dinesh Chandimal (50) produced a 93-run fourth-wicket partnership that was broken just as Chandimal reached his 15th half century.Mathews and Milinda Siriwardana (39) then put on 62 runs in 6.4 overs to take them to within 72 runs with nine overs remaining.The match then turned in the next three overs when Siriwardana and Chamara Kapugedara (10) were both dismissed, sending the required run rate over 10 and the chase effectively ended when Mathews became Henrys fourth victim in the 46th over.While Guptill had top-scored in New Zealands innings, it was Kane Williamson and Ross Taylor, who both scored 61, played the anchor roles to allow the opener to score his 10th one-day international century.Guptill, the highest run scorer in one-dayers last year, hit nine boundaries and three sixes.He finished with 331 runs in the five-match series at an average of 82.75.Sri Lankas bowlers did an excellent job at the end of New Zealands innings by clamping down on their scoring rate that had threatened to push the score well past 300.The two sides now play two Twenty20 internationals, with the first at the same venue on Thursday.",01-05-2016,Henry takes five as NZ complete series win over SL,cricket,,Mathews;Chandimal;Angelo;Kane Williamson;Kane;Milinda Siriwardana;Matt;Angelo Mathews;Siriwardana;Williamson;Ross;Chamara Kapugedara;Milinda;Henry;Taylor;Ross Taylor;Matt Henry;Guptill;Dinesh Chandimal;Dinesh;Kapugedara;Chamara,Henry;Matt Henry,
"SYDNEY: Rain washed out the whole of the third day of the third test between Australia and West Indies at the Sydney Cricket Ground on Tuesday.The covers stayed on the pitch all day as rain lashed down on the ground with play officially abandoned at 3:30 p.m (0430 GMT).It was a further disruption in the dead rubber contest after three hours of day one and all but 11.2 overs of day two were lost to wet weather.West Indies, already 2-0 down in the series after thumping defeats in Hobart and Melbourne, will have to wait until Wednesday to resume their first innings on 248 for seven.",01-05-2016,Day three of Sydney test washed ou,cricket,SYDNEY,,,
"CAPE TOWN: Poor weather brought a limp end to a compelling second Test as England survived a final day onslaught from South Africa to draw the match and keep up their 1-0 lead in the series.England were 159 for six in their second innings, with Jonny Bairstow (30) and Moeen Ali (10) unbeaten, before drizzle and bad light halted play soon after tea on Wednesday.South Africas quick bowlers made inroads in the morning to offer the likelihood of a remarkable come-from-behind victory after England had dominated the opening two days to amass 629 for six declared in their first innings.South Africa clawed back over the next two days, keeping England in the field on hot, energy-sapping days as they slowly regained a foothold and eventually declared just two runs short of the visitors total.A four-wicket burst before lunch on Wednesday suddenly offered the tantalising possibility of a result and two more in the second session brought South Africa even closer to scuttling out England before chasing down a modest target.But dogged resistance from Bairstow and Ali, in an unbroken 43-run partnership, and the gloomy weather dashed South Africas hopes of pulling off a remarkable victory.England started the day on 16-0 in their second innings, with a lead of 18 runs, but captain Alastair Cook was strangled down the leg side and caught by wicketkeeper Quinton de Kock off Kagiso Rabadas bowling with just the eighth ball of the morning.He went for eight with England having added a single to their overnight total.Alex Hales (5) was then snagged by a brilliant diving one-handed catch from Chris Morris at slip to give Morne Morkel a deserved wicket after some fiery bowling.Joe Root was caught in the slips by AB de Villiers off Morkel on 17 but television replays showed the bowler had stepped over the line.But Englands top-ranked batsman failed to capitalise on the reprieve and scored 12 more runs before being bowled by Morris to leave England on 55-3.Nick Compton (15) fell 10 minutes before lunch after playing straight to Faf du Plessis at short mid-wicket as he became the first of three victims for Dane Piedt.After the interval, the off spinner dismissed Ben Stokes, caught at deep square leg for 26, and James Taylor, who got a nasty bounce up onto his gloves and was caught by Temba Bavuma at short leg for 27.The third Test will be at the Wanderers in Johannesburg from Jan.14-18. England won the first Test in Durban by 241 runs. (Reuters)",01-06-2016,England hold on for draw as weather has final say,cricket,CAPE TOWN,Jonny Bairstow;de;Hales;Quinton de Kock;Cook;Alastair;Kock;Plessis;Ben Stokes;Faf du Plessis;du;Nick Compton;Morkel;Chris;Morne;Morris;Bavuma;Alastair Cook;Bairstow;Compton;James Taylor;James;Taylor;Nick;Chris Morris;Faf;Ben;Moeen Ali;Quinton;Jonny;Morne Morkel;Stokes;Temba Bavuma;Temba;Moeen;Ali,,Reuters
"CAPE TOWN: Off-spinner Dane Piedt raised hopes of an unlikely South African victory as he grabbed three wickets on Wednesday to leave England on 155 for six at tea on the final day of the high-scoring second Test.Just when it seemed that the match was heading for a draw, Piedt raised prospects of an unexpected victory after claiming the wickets of Nick Compton, first innings double centurion Ben Stokes and James Taylor which left England with a 157-run lead going into the final session.Jonny Bairstow (26 not out) and Moeen Ali (10 not out) frustrated South Africas efforts to skittle England out cheaply in their second innings and set themselves a reachable target before close of play on Wednesday.Cloud cover over Newlands offered bowlers the swing that had been missing over the previous four, searingly-hot days and helped South Africa to claim quick wickets to spice up the game.Englands batsmen looked short on confidence as a little moisture in the air and an absence of wind presented bowlers with a window of opportunity.England started the day on 16-0 in their second innings, having an 18-run lead over South Africa after both posted high-scoring totals in the first innings.Cook (8) was strangled down the leg side and caught by wicketkeeper Quinton de Kock off Kagiso Rabadas bowling on the eighth ball of the morning with England having added a single to their overnight total.Alex Hales (5) was snagged by a brilliant diving one-handed catch from Chris Morris at slip to give Morne Morkel a deserved wicket after some fiery bowling.Joe Root was caught in the slips by AB de Villiers off Morkel on 17 but television replays showed the bowler had stepped over the line.But Englands top-ranked batsman failed to capitalise on the reprieve and scored 12 more runs before being bowled by Morris to leave England on 55-3.Compton fell 10 minutes before lunch as he played straight to Faf du Plessis at short mid-wicket and was out after a tentative 15.After lunch, Piedt dismissed Stokes, caught at deep square leg for 26, and Taylor, who got a nasty bounce up onto his gloves and was caught by Temba Bavuma at short leg for 27.England had looked set to win a second successive Test when they went on a run-scoring riot on Sunday to shatter several records in amassing 629 for six declared.But South Africa batted themselves back into the game over three days eventually declaring on 627-7 some 30 minutes before the end of Tuesdays play and then sparking hopes of victory with an attacking bowling display on Wednesday. (Reuters)",01-06-2016,England frustrate South Afri,cricket,CAPE TOWN,de;Hales;Quinton de Kock;Dane Piedt;Kock;Ben Stokes;Plessis;Faf du Plessis;du;Nick Compton;Morkel;Chris;Morne;Morris;Bavuma;Bairstow;Piedt;Compton;James Taylor;James;Taylor;Nick;Chris Morris;Ben;Faf;Moeen Ali;Quinton;Morne Morkel;Stokes;Temba Bavuma;Dane;Temba;Moeen;Ali,,Compton;Newlands;Reuters
"CAPE TOWN: Hashim Amla said on Wednesday he was stepping aside as South Africas cricket test captain with immediate effect, a day after a double century rescued his country from possible defeat in the second test against England.The 32-year-old made the surprise announcement just minutes after the test at Newlands ended in a draw and after Amla had led a fight back to haul his team from a precarious position.",01-06-2016,Hashim Amla quits as South Africa test captai,cricket,CAPE TOWN,Hashim Amla;Hashim;Amla,Hashim Amla,
"KARACHI: Shahid Afridi on Wednesday complained that media blows insignificant issues completely out of proportion and then airs them as breaking news.Shahid Afridi was criticized for lashing out at a journalist when he was questioned about the teams performance under his captaincy. Khan replied, I was expecting such a cheap question from you.The journalists took exception to Afridi's remarks and boycotted the press conference.Later, speaking in the Geo News program Report Card, Shahid Afridi clarified his earlier remarks, saying a certain journalist had been targeting him for sometime.Shahid Afirid said the reporter had spread 'false news' in Dubai that he (Afridi) asked a junior player to wipe his shoes. ""I didn't ask any junior player to clean my shoes but it was a youngster who insisted on it and took my shoes for cleaning,"" he added.Afridi claimed the reporter has been using inappropriate language and that he (Afridi) even filed a complaint against him.He said only two-three months of his cricket career are left and he needs media's support.strong>PCB Chief says Afridis Urdu isnt good</strongPakistan Cricket Board (PCB) Chairman, Shahryar Khan defended Shahid Afridi, saying his Urdu is not good and asked everyone to ignore his remarks.Talking to media persons, he said he did not know what about the exact words of Shahid Afridis remarks and why he had to utter them.He said he would go back to Lahore and get the issue investigated.",01-06-2016,Afridi says media blows trivial issues out of proporti,cricket,KARACHI,Shahryar Khan;Urdu;Khan;Afridis;Shahryar;Afridis Urdu;Shahid Afridi;Afridi;Shahid;Shahid Afridis,Afridi;Shahid Afridi,Cricket Board;PCB
"SYDNEY: Heavy rain washed out play in the third Test between Australia and West Indies for the second successive day on Wednesday, further reducing the already slim chance of a result in the dead rubber match.The rainfall, which had prevented any action on day three and all but 11 overs on day two at the Sydney Cricket Ground (SCG), continued unabated into the fourth day of the contest and play was officially abandoned just before 1 p.m. (0200 GMT).West Indies, already 2-0 down in the series after thumping defeats in Hobart and Melbourne, were waiting to resume their first innings on 248 for seven.(Reuters)",01-06-2016,Rain washes out day four in Sydney,cricket,SYDNEY,,,SCG;Reuters
